"Segments:
2,"BOGO 50% OFF
Select Styles
[SHOP MAGELLAN OUTDOORS] [SHOP BRAZOS]
",Yajaira/,,https://brandfolder.com/s/r3nvvc7pgkm32b5888fp89hc,"MG APP: 159823068_WHITE01_0_0_0
161969779_LTGRN05_0_0_0
159824618_LTGRN01_0_0_0
Brazos APP: 149686397_MDBLUE09_0_0_0, 149686645_RUSTCOPP01_0_0_0",,"Magellan: https://www.academy.com/c/brands/magellan
Brazos: https://www.academy.com/c/brands/brands-a-to-d/brazos-brand",,"Buy one, get one 50% off select Magellan Outdoors and Brazos styles.","hero_app_magellanbogo50p
hero_app_brazosbogo50p",,Hero Carousel - Card 2,"BOGO 50% OFF
Select Styles
1 CTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"From 
$99.99
Grills 
[Outdoor Gourmet + MORE]",Bethany,"6/29-7/5 - just a flat $99 for the bronco and QG 3 burner no boxed and assembly SKU

Pit Boss, Blackstone",https://brandfolder.com/s/ncq7cmbwxtwt5wsz4n4cgwgm,"160949531_BLACK_0_0_0
160852691_BLACK_0_0_0",,https://www.academy.com/c/outdoors/grills--outdoor-cooking/grills,,Shop Outdoor Gourmet and more top brand grills from $99.99,hero_snr_grills99d,,Hero Carousel - Card 3,"From 
$99.99
Grills 
[Outdoor Gourmet + MORE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Up to 
$200 OFF 
Patio Furniture
[Mosaic]",Bethany,,"https://brandfolder.com/s/k4h45w7wzcnfmkj5mv426c9

241113 images",152562838_BEIGEMDBRN_0_0_0,,https://www.academy.com/c/home-backyard/outdoor-living/patio-furniture?&facet=%27facet_Deals%27:%27Hot%20Deal%27,,Save up to $200 on Mosaic patio furniture.,hero_snr_mosaicpatiofurniture200d,,Hero Carousel - Card 4,"Up to 
$200 OFF 
Patio Furniture
[Mosaic]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Up to
40% OFF
Backyard Water Fun",Brandi,,,,,https://www.academy.com/c/shops/fun-in-the-sun/pools--water-toys,,Save up to 40% on backyard water fun.,hero_snr_backyardwaterfun40p,,Hero Carousel - Card 5,"Up to
40% OFF
Backyard Water Fun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"50% OFF
Select Swimwear
[O'Rageous + MORE]",Brandi,"6/29-7/4, freely as addtl brand",https://brandfolder.com/s/4xbr9q3sf7j6cjtjvjhv7vrp,"159937786_LTTURQAQ01_0_0_0
161011341_BLUE_0_0_0
159947925_MDPURPLE02_0_0_0
161051423_MULTIPINK_0_0_0",,https://www.academy.com/c/shops/swimsuits,,Save 50% on swimwear.,hero_app_swim50p,,Hero Carousel - Card 6,"50% OFF
Select Swimwear
[O'Rageous + MORE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Card (2nd Card Carousel)  (GTM, AGF, OE, SF) 	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card 2 Carousel ,"NOT A CARDHOLDER = ACQUISITION
CBCC + PLCC CARDHOLDER = 5% OFF TODAY",,Pending updated copy,N/A,,,https://www.academy.com/myacademy-rewards-credit-card,Reuse from Previous Weeks,Reuse from Previous Weeks,Reuse from Previous Weeks,,Event Banner,Bottom of page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Event Banner (GTM, AGF, OE, SF)",, ,,,,, ,, , ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V2: 7/1-7/4
V3: 7/5","ONLINE + IN-STORE
Clearance
Up to 60% OFF
Clothing

Prices online reflect full discount.",Cross ,Extra 50% Off,Standard clearance creative,,,https://www.academy.com/c/academy-clearance/clothing-shoes-clearance,,Shop new clearance clothes up to 60% off.,eb_mac_clearanceclothes60p,,"Event Banner (Below More Savings, More Fun)","Clearance
Up to 65% OFF Clothes + Shoes
[SHOP NOW]
Price online reflects full discount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ 1:1,, , ,,,,, ,, , ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ ,Card 1, , ,,,,NA,NA,NA,NA,NA,Not In App,Not In App, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ,Card 2, , ,,,,NA,NA,NA,NA,NA,Not In App,Not In App, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ ,Card 3, , ,,,,NA,NA,NA,NA,NA,Not In App,Not In App, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ,Card 4, , ,,,,NA,NA,NA,NA,NA,Not In App,Not In App, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trending for Fans (GTM, AGF, SF)",,,,,,,,,,,,Headline + 1 Card + Event Banner,Trending for Fans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Banner,"Show the World What You Got
[SHOP FAN GEAR]",Ron,Reuse from WK21,,https://www.academy.com/c/fan-shop/soccer-shop/soccer-tournament-gear,,,,,,,1 Card,"Show the World What You Got
[SHOP FAN GEAR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Banner,WORLD CUP GAMIFICATION,Ron,Maya to Provide,Maya to Provide,https://app.academy.com/UVHf/ivpouhxn,,,,,,,Event Banner,WORLD CUP GAMIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
